ID,Titre,Année,Genres,Note,Votes
tt0067321,Lady Frankenstein,1971,Horror,5.1,2585
tt0067324,Land of Silence and Darkness,1971,Documentary,7.9,3288
tt0067327,The Last Movie,1971,Drama,6.1,2779
tt0067328,The Last Picture Show,1971,"Drama,Romance",8.0,53754
tt0067329,The Last Run,1971,"Action,Crime,Drama",6.6,2635
tt0067333,Lawman,1971,"Adventure,Drama,Western",7.0,6301
tt0067334,Le Mans,1971,"Action,Adventure,Drama",6.7,12199
tt0067341,Let's Scare Jessica to Death,1971,"Drama,Horror,Mystery",6.4,9608
tt0067345,The Light at the Edge of the World,1971,"Adventure,Drama,Fantasy",6.0,1915
tt0067350,Little Murders,1971,"Comedy,Crime",6.9,3699
tt0067355,They Call Me Trinity,1970,"Comedy,Western",7.4,25831
tt0067361,A Lizard in a Woman's Skin,1971,"Mystery,Thriller",6.8,6002
tt0067367,Lust for a Vampire,1971,Horror,5.7,3782
tt0067372,Macbeth,1971,"Drama,History",7.4,15276
tt0067375,Madame Sin,1972,"Adventure,Crime,Thriller",5.7,1193
tt0067384,Short Night of Glass Dolls,1971,"Horror,Mystery",6.6,3833
tt0067385,The Troubles of Alfred,1972,"Comedy,Romance,Sport",6.2,1087
tt0067386,The Legend of Doom House,1971,"Drama,Fantasy,Horror",6.6,1713
tt0067388,Man in the Wilderness,1971,"Adventure,Drama,Western",6.8,3561
tt0067396,The Murder Mansion,1972,"Horror,Thriller",5.1,1544
tt0067397,The Swashbuckler,1971,"Action,Adventure,Comedy",6.5,1711
tt0067402,"Mary, Queen of Scots",1971,"Biography,Drama,History",7.1,4991
tt0067409,Max and the Junkmen,1971,"Crime,Drama,Romance",7.3,3229
tt0067411,McCabe & Mrs. Miller,1971,"Drama,Western",7.6,28442
tt0067418,Melody,1971,"Comedy,Drama,Romance",7.6,3263
tt0067419,The Mephisto Waltz,1971,"Horror,Mystery,Thriller",6.1,3367
tt0067429,Caliber 9,1972,"Action,Crime,Thriller",7.4,4902
tt0067433,Minnie and Moskowitz,1971,"Comedy,Drama,Romance",7.2,5487
tt0067434,My Dear Killer,1972,"Mystery,Thriller",6.4,1762
tt0067439,My Uncle Antoine,1971,Drama,7.4,3237
tt0067445,Death in Venice,1971,"Drama,Romance",7.3,23524
tt0067446,Death Walks on High Heels,1971,"Crime,Horror,Mystery",6.5,2384
tt0067454,Multiple Maniacs,1970,"Comedy,Crime,Horror",6.5,4678
tt0067457,Murders in the Rue Morgue,1971,"Action,Crime,Fantasy",5.2,1596
tt0067458,Murphy's War,1971,"Drama,War",6.7,4081
tt0067464,The Girl on a Broomstick,1972,"Comedy,Family,Fantasy",7.3,1596
tt0067467,Red Psalm,1972,"Drama,Musical,War",6.7,2010
