ID,Titre,Année,Genres,Note,Votes,Titre Français,Nom du/des Réalisateur(s)
tt0066122,Deep End,1970,"Comedy,Drama,Romance",7.2,7808,Grand Bain,['Jerzy Skolimowski']
tt0066122,Deep End,1970,"Comedy,Drama,Romance",7.2,7808,Deep End,['Jerzy Skolimowski']
tt0066124,The Beginning,1970,"Drama,Romance",7.6,1094,Debut,['Gleb Panfilov']
tt0066124,The Beginning,1970,"Drama,Romance",7.6,1094,Le début,['Gleb Panfilov']
tt0066130,Ned Kelly,1970,"Biography,Crime,Drama",5.1,1459,Ned Kelly,['Tony Richardson']
tt0066141,The Night Visitor,1971,"Crime,Horror,Thriller",6.7,2089,Le visiteur de la nuit,['Laslo Benedek']
tt0066154,No Blade of Grass,1970,"Drama,Sci-Fi",5.8,2099,Terre Brûlée,['Cornel Wilde']
tt0066160,The Werewolf Versus the Vampire Woman,1971,Horror,5.3,2161,La Furie des vampires,['León Klimovsky']
tt0066167,Light the Fuse... Sartana Is Coming,1970,Western,6.4,1302,Une traînée de poudre... les pistoleros arrivent!,['Giuliano Carnimeo']
tt0066181,On a Clear Day You Can See Forever,1970,"Comedy,Drama,Fantasy",6.4,4393,Melinda,['Vincente Minnelli']
tt0066184,The Only Game in Town,1970,"Comedy,Drama,Romance",5.7,1097,"Las Vegas, un couple",['George Stevens']
tt0066193,The Out of Towners,1970,Comedy,7.0,9545,Ces drôles de provinciaux,['Arthur Hiller']
tt0066193,The Out of Towners,1970,Comedy,7.0,9545,Escapade à New York,['Arthur Hiller']
tt0066195,The Owl and the Pussycat,1970,"Comedy,Romance",6.4,4522,La chouette et le pussycat,['Herbert Ross']
tt0066206,Patton,1970,"Biography,Drama,War",7.9,109720,Patton,['Franklin J. Schaffner']
tt0066207,Donkey Skin,1970,"Comedy,Fantasy,Musical",7.0,6690,Peau d'âne,['Jacques Demy']
tt0066212,Perfect Friday,1970,"Comedy,Crime",6.4,1209,L'arnaqueuse,['Peter Hall']
tt0066214,Performance,1970,"Crime,Drama",6.7,11524,Performance,"['Donald Cammell', 'Nicolas Roeg']"
tt0066214,Performance,1970,"Crime,Drama",6.7,11524,Vanilla,"['Donald Cammell', 'Nicolas Roeg']"
tt0066227,Pippi in the South Seas,1970,"Adventure,Comedy,Drama",6.9,5733,Fifi Brindacier et les pirates,['Olle Hellbom']
tt0066237,The Adversary,1970,Drama,8.1,1962,L'adversaire,['Satyajit Ray']
tt0066249,The Private Life of Sherlock Holmes,1970,"Adventure,Comedy,Crime",7.0,13774,La vie privée de Sherlock Holmes,['Billy Wilder']
tt0066256,Pufnstuf,1970,"Adventure,Comedy,Family",6.5,1269,,['Hollingsworth Morse']
tt0066258,Puppet on a Chain,1971,"Action,Crime,Thriller",5.9,1316,Narcotic Bureau,['Geoffrey Reeve']
tt0066265,Pippi on the Run,1970,"Adventure,Comedy,Drama",6.8,4138,Les randonnées de Fifi Brindacier,['Olle Hellbom']
tt0066279,The Railway Children,1970,"Drama,Family",7.3,5811,Les enfants du chemin de fer,['Lionel Jeffries']
tt0066289,The Cruise,1970,Comedy,7.5,3778,,['Marek Piwowski']
tt0066301,Rio Lobo,1970,"Drama,War,Western",6.7,14103,Rio Lobo,['Howard Hawks']
tt0066318,The Breach,1970,Drama,7.2,1991,La rupture,['Claude Chabrol']
tt0066319,Ryan's Daughter,1970,"Drama,Romance",7.4,10941,La Fille d'Irlande,['David Lean']
tt0066319,Ryan's Daughter,1970,"Drama,Romance",7.4,10941,La Fille de Ryan,['David Lean']
tt0066344,Scrooge,1970,"Drama,Family,Fantasy",7.5,12707,Scrooge,['Ronald Neame']
tt0066380,Vampyros Lesbos,1971,"Drama,Horror",5.4,5345,L'héritière de Dracula,['Jesús Franco']
tt0066380,Vampyros Lesbos,1971,"Drama,Horror",5.4,5345,Sexualité speciale,['Jesús Franco']
tt0066380,Vampyros Lesbos,1971,"Drama,Horror",5.4,5345,Vampire lesbos,['Jesús Franco']
tt0066380,Vampyros Lesbos,1971,"Drama,Horror",5.4,5345,Vampiros Lesbos,['Jesús Franco']
tt0066390,Soldier Blue,1970,"Drama,War,Western",6.9,6609,Le Soldat bleu,['Ralph Nelson']
tt0066390,Soldier Blue,1970,"Drama,War,Western",6.9,6609,Soldat bleu,['Ralph Nelson']
tt0066392,Something for Everyone,1970,"Comedy,Crime,Drama",7.0,1144,,['Harold Prince']
tt0066401,Spring and Port Wine,1970,Drama,7.0,1038,Place aux jeunes,['Peter Hammond']
tt0066402,Start the Revolution Without Me,1970,"Comedy,History",6.4,3264,Commencez la révolution sans nous,['Bud Yorkin']
